,Date,Open,High,Low,Close,Adj Close,Volume,Day of Week,%_CloseChange
101,2023-01-23,18118.44921875,18162.599609375,18063.44921875,18118.55078125,18118.55078125,202500,Monday,0.5042276095628795
102,2023-01-24,18183.94921875,18201.25,18078.650390625,18118.30078125,18118.30078125,216900,Tuesday,-0.0013798013043020418
103,2023-01-25,18093.349609375,18100.599609375,17846.150390625,17891.94921875,17891.94921875,257200,Wednesday,-1.249297962501228
104,2023-01-27,17877.19921875,17884.75,17493.55078125,17604.349609375,17604.349609375,476300,Friday,-1.6074246906178757
105,2023-01-30,17541.94921875,17709.150390625,17405.55078125,17648.94921875,17648.94921875,432400,Monday,0.25334426073457816
106,2023-01-31,17731.44921875,17735.69921875,17537.55078125,17662.150390625,17662.150390625,398300,Tuesday,0.07479862801675896
107,2023-02-01,17811.599609375,17972.19921875,17353.400390625,17616.30078125,17616.30078125,512900,Wednesday,-0.25959245256645946
108,2023-02-02,17517.099609375,17653.900390625,17445.94921875,17610.400390625,17610.400390625,490100,Thursday,-0.03349392530399564
109,2023-02-03,17721.75,17870.30078125,17584.19921875,17854.05078125,17854.05078125,424100,Friday,1.3835596307890219
110,2023-02-06,17818.55078125,17823.69921875,17698.349609375,17764.599609375,17764.599609375,282500,Monday,-0.5010133160870178
111,2023-02-07,17790.099609375,17811.150390625,17652.55078125,17721.5,17721.5,354400,Tuesday,-0.24261514654264627
112,2023-02-08,17750.30078125,17898.69921875,17744.150390625,17871.69921875,17871.69921875,291000,Wednesday,0.8475536424681795
113,2023-02-09,17885.5,17916.900390625,17779.80078125,17893.44921875,17893.44921875,260900,Thursday,0.12170079483646568
114,2023-02-10,17847.55078125,17876.94921875,17801.0,17856.5,17856.5,232000,Friday,-0.20649578680046465
115,2023-02-13,17859.099609375,17880.69921875,17719.75,17770.900390625,17770.900390625,231300,Monday,-0.479375070002519
116,2023-02-14,17840.349609375,17954.55078125,17800.05078125,17929.849609375,17929.849609375,244500,Tuesday,0.89443537049958
117,2023-02-15,17896.599609375,18034.099609375,17853.80078125,18015.849609375,18015.849609375,229300,Wednesday,0.4796470794436125
118,2023-02-16,18094.75,18134.75,18000.650390625,18035.849609375,18035.849609375,230200,Thursday,0.11101336008929596
119,2023-02-17,17974.849609375,18034.25,17884.599609375,17944.19921875,17944.19921875,208100,Friday,-0.5081567689351307
120,2023-02-20,17965.55078125,18004.349609375,17818.400390625,17844.599609375,17844.599609375,174600,Monday,-0.5550518480140765
121,2023-02-21,17905.80078125,17924.900390625,17800.30078125,17826.69921875,17826.69921875,198200,Tuesday,-0.10031264929920569
122,2023-02-22,17755.349609375,17772.5,17529.44921875,17554.30078125,17554.30078125,204000,Wednesday,-1.5280363131582653
123,2023-02-23,17574.650390625,17620.05078125,17455.400390625,17511.25,17511.25,240800,Thursday,-0.2452434977984641
124,2023-02-24,17591.349609375,17599.75,17421.80078125,17465.80078125,17465.80078125,209400,Friday,-0.2595429723749043
125,2023-02-27,17428.599609375,17451.599609375,17299.0,17392.69921875,17392.69921875,246400,Monday,-0.41854114458053093
126,2023-02-28,17383.25,17440.44921875,17255.19921875,17303.94921875,17303.94921875,420900,Tuesday,-0.5102715736285734
127,2023-03-01,17360.099609375,17467.75,17345.25,17450.900390625,17450.900390625,272900,Wednesday,0.8492348770636093
128,2023-03-02,17421.5,17445.80078125,17306.0,17321.900390625,17321.900390625,310700,Thursday,-0.7392168719804415
129,2023-03-03,17451.25,17644.75,17427.69921875,17594.349609375,17594.349609375,356200,Friday,1.5728598629827895
130,2023-03-06,17680.349609375,17799.94921875,17671.94921875,17711.44921875,17711.44921875,362800,Monday,0.6655523618366965
131,2023-03-08,17665.75,17766.5,17602.25,17754.400390625,17754.400390625,267000,Wednesday,0.24250512391459367
132,2023-03-09,17772.05078125,17772.349609375,17573.599609375,17589.599609375,17589.599609375,262400,Thursday,-0.9282249899975281
133,2023-03-10,17443.80078125,17451.5,17324.349609375,17412.900390625,17412.900390625,235900,Friday,-1.0045664635585094
134,2023-03-13,17421.900390625,17529.900390625,17113.44921875,17154.30078125,17154.30078125,254900,Monday,-1.4851035931626178
135,2023-03-14,17160.55078125,17224.650390625,16987.099609375,17043.30078125,17043.30078125,290600,Tuesday,-0.6470680525861194
136,2023-03-15,17166.44921875,17211.349609375,16938.900390625,16972.150390625,16972.150390625,248200,Wednesday,-0.41746837386849034
137,2023-03-16,16994.650390625,17062.44921875,16850.150390625,16985.599609375,16985.599609375,349800,Thursday,0.07924286811309411
138,2023-03-17,17111.80078125,17145.80078125,16958.150390625,17100.05078125,17100.05078125,408100,Friday,0.6738129621978839
139,2023-03-20,17066.599609375,17066.599609375,16828.349609375,16988.400390625,16988.400390625,241800,Monday,-0.6529243219992265
140,2023-03-21,17060.400390625,17127.69921875,17016.0,17107.5,17107.5,246700,Tuesday,0.7010642946744028
141,2023-03-22,17177.44921875,17207.25,17107.849609375,17151.900390625,17151.900390625,0,Wednesday,0.25953757489405316
142,2023-03-23,17097.400390625,17205.400390625,17045.30078125,17076.900390625,17076.900390625,219200,Thursday,-0.43726933046436267
